char_idx,char,top_left_x,top_left_y,width,height,char_idx_in_line,line_idx,page,word_idx,word_idx_in_line,word
33,u,543.0,89.0,14,33,33,0,page_1,7,7,"house,"
34,s,557.0,89.0,14,33,34,0,page_1,7,7,"house,"
35,e,571.0,89.0,14,33,35,0,page_1,7,7,"house,"
36,",",585.0,89.0,14,33,36,0,page_1,7,7,"house,"
37, ,599.0,89.0,14,33,37,0,page_1,7,7,
38,f,613.0,89.0,14,33,38,0,page_1,8,8,for
39,o,627.0,89.0,14,33,39,0,page_1,8,8,for
40,r,641.0,89.0,14,33,40,0,page_1,8,8,for
41, ,655.0,89.0,14,33,41,0,page_1,8,8,
42,t,669.0,89.0,14,33,42,0,page_1,9,9,the
43,h,683.0,89.0,14,33,43,0,page_1,9,9,the
44,e,697.0,89.0,14,33,44,0,page_1,9,9,the
45, ,711.0,89.0,14,33,45,0,page_1,9,9,
46,s,725.0,89.0,14,33,46,0,page_1,10,10,south
47,o,739.0,89.0,14,33,47,0,page_1,10,10,south
48,u,753.0,89.0,14,33,48,0,page_1,10,10,south
49,t,767.0,89.0,14,33,49,0,page_1,10,10,south
50,h,781.0,89.0,14,33,50,0,page_1,10,10,south
51, ,795.0,89.0,14,33,51,0,page_1,10,10,
52,a,809.0,89.0,14,33,52,0,page_1,11,11,and
53,n,823.0,89.0,14,33,53,0,page_1,11,11,and
54,d,837.0,89.0,14,33,54,0,page_1,11,11,and
55, ,851.0,89.0,14,33,55,0,page_1,11,11,
56,e,865.0,89.0,14,33,56,0,page_1,12,12,east
57,a,879.0,89.0,14,33,57,0,page_1,12,12,east
58,s,893.0,89.0,14,33,58,0,page_1,12,12,east
59,t,907.0,89.0,14,33,59,0,page_1,12,12,east
60, ,921.0,89.0,14,33,60,0,page_1,12,12,
61,l,935.0,89.0,14,33,61,0,page_1,13,13,looked
62,o,949.0,89.0,14,33,62,0,page_1,13,13,looked
63,o,963.0,89.0,14,33,63,0,page_1,13,13,looked
64,k,977.0,89.0,14,33,64,0,page_1,13,13,looked
65,e,991.0,89.0,14,33,65,0,page_1,13,13,looked
66,d,1005.0,89.0,14,33,66,0,page_1,13,13,looked
67, ,1019.0,89.0,14,33,67,0,page_1,13,13,
68,r,1033.0,89.0,14,33,68,0,page_1,14,14,rather
69,a,1047.0,89.0,14,33,69,0,page_1,14,14,rather
70,t,1061.0,89.0,14,33,70,0,page_1,14,14,rather
71,h,1075.0,89.0,14,33,71,0,page_1,14,14,rather
72,e,1089.0,89.0,14,33,72,0,page_1,14,14,rather
73,r,1103.0,89.0,14,33,73,0,page_1,14,14,rather
74,m,81.0,184.7,14,33,0,1,page_1,15,0,melancholy
75,e,95.0,184.7,14,33,1,1,page_1,15,0,melancholy
76,l,109.0,184.7,14,33,2,1,page_1,15,0,melancholy
77,a,123.0,184.7,14,33,3,1,page_1,15,0,melancholy
78,n,137.0,184.7,14,33,4,1,page_1,15,0,melancholy
79,c,151.0,184.7,14,33,5,1,page_1,15,0,melancholy
80,h,165.0,184.7,14,33,6,1,page_1,15,0,melancholy
81,o,179.0,184.7,14,33,7,1,page_1,15,0,melancholy
82,l,193.0,184.7,14,33,8,1,page_1,15,0,melancholy
83,y,207.0,184.7,14,33,9,1,page_1,15,0,melancholy
84, ,221.0,184.7,14,33,10,1,page_1,15,0,
85,e,235.0,184.7,14,33,11,1,page_1,16,1,even
86,v,249.0,184.7,14,33,12,1,page_1,16,1,even
87,e,263.0,184.7,14,33,13,1,page_1,16,1,even
88,n,277.0,184.7,14,33,14,1,page_1,16,1,even
89, ,291.0,184.7,14,33,15,1,page_1,16,1,
90,u,305.0,184.7,14,33,16,1,page_1,17,2,under
91,n,319.0,184.7,14,33,17,1,page_1,17,2,under
92,d,333.0,184.7,14,33,18,1,page_1,17,2,under
93,e,347.0,184.7,14,33,19,1,page_1,17,2,under
94,r,361.0,184.7,14,33,20,1,page_1,17,2,under
95, ,375.0,184.7,14,33,21,1,page_1,17,2,
96,t,389.0,184.7,14,33,22,1,page_1,18,3,the
97,h,403.0,184.7,14,33,23,1,page_1,18,3,the
98,e,417.0,184.7,14,33,24,1,page_1,18,3,the
99, ,431.0,184.7,14,33,25,1,page_1,18,3,
100,b,445.0,184.7,14,33,26,1,page_1,19,4,brightest
101,r,459.0,184.7,14,33,27,1,page_1,19,4,brightest
102,i,473.0,184.7,14,33,28,1,page_1,19,4,brightest
103,g,487.0,184.7,14,33,29,1,page_1,19,4,brightest
104,h,501.0,184.7,14,33,30,1,page_1,19,4,brightest
105,t,515.0,184.7,14,33,31,1,page_1,19,4,brightest
106,e,529.0,184.7,14,33,32,1,page_1,19,4,brightest
107,s,543.0,184.7,14,33,33,1,page_1,19,4,brightest
108,t,557.0,184.7,14,33,34,1,page_1,19,4,brightest
109, ,571.0,184.7,14,33,35,1,page_1,19,4,
110,m,585.0,184.7,14,33,36,1,page_1,20,5,morning.
111,o,599.0,184.7,14,33,37,1,page_1,20,5,morning.
112,r,613.0,184.7,14,33,38,1,page_1,20,5,morning.
113,n,627.0,184.7,14,33,39,1,page_1,20,5,morning.
114,i,641.0,184.7,14,33,40,1,page_1,20,5,morning.
115,n,655.0,184.7,14,33,41,1,page_1,20,5,morning.
116,g,669.0,184.7,14,33,42,1,page_1,20,5,morning.
117,.,683.0,184.7,14,33,43,1,page_1,20,5,morning.
118, ,697.0,184.7,14,33,44,1,page_1,20,5,
119,T,711.0,184.7,14,33,45,1,page_1,21,6,The
120,h,725.0,184.7,14,33,46,1,page_1,21,6,The
121,e,739.0,184.7,14,33,47,1,page_1,21,6,The
122, ,753.0,184.7,14,33,48,1,page_1,21,6,
123,g,767.0,184.7,14,33,49,1,page_1,22,7,grounds
124,r,781.0,184.7,14,33,50,1,page_1,22,7,grounds
125,o,795.0,184.7,14,33,51,1,page_1,22,7,grounds
126,u,809.0,184.7,14,33,52,1,page_1,22,7,grounds
127,n,823.0,184.7,14,33,53,1,page_1,22,7,grounds
128,d,837.0,184.7,14,33,54,1,page_1,22,7,grounds
129,s,851.0,184.7,14,33,55,1,page_1,22,7,grounds
130, ,865.0,184.7,14,33,56,1,page_1,22,7,
131,h,879.0,184.7,14,33,57,1,page_1,23,8,here
132,e,893.0,184.7,14,33,58,1,page_1,23,8,here
133,r,907.0,184.7,14,33,59,1,page_1,23,8,here
134,e,921.0,184.7,14,33,60,1,page_1,23,8,here
135, ,935.0,184.7,14,33,61,1,page_1,23,8,
136,w,949.0,184.7,14,33,62,1,page_1,24,9,were
137,e,963.0,184.7,14,33,63,1,page_1,24,9,were
138,r,977.0,184.7,14,33,64,1,page_1,24,9,were
139,e,991.0,184.7,14,33,65,1,page_1,24,9,were
140, ,1005.0,184.7,14,33,66,1,page_1,24,9,
141,m,1019.0,184.7,14,33,67,1,page_1,25,10,more
142,o,1033.0,184.7,14,33,68,1,page_1,25,10,more
143,r,1047.0,184.7,14,33,69,1,page_1,25,10,more
144,e,1061.0,184.7,14,33,70,1,page_1,25,10,more
145, ,1075.0,184.7,14,33,71,1,page_1,25,10,
146,c,1089.0,184.7,14,33,72,1,page_1,26,11,"confined,"
147,o,1103.0,184.7,14,33,73,1,page_1,26,11,"confined,"
148,n,1117.0,184.7,14,33,74,1,page_1,26,11,"confined,"
149,f,1131.0,184.7,14,33,75,1,page_1,26,11,"confined,"
150,i,1145.0,184.7,14,33,76,1,page_1,26,11,"confined,"
151,n,1159.0,184.7,14,33,77,1,page_1,26,11,"confined,"
152,e,1173.0,184.7,14,33,78,1,page_1,26,11,"confined,"
153,d,1187.0,184.7,14,33,79,1,page_1,26,11,"confined,"
154,",",1201.0,184.7,14,33,80,1,page_1,26,11,"confined,"
155,t,81.0,280.4,14,33,0,2,page_1,27,0,the
156,h,95.0,280.4,14,33,1,2,page_1,27,0,the
157,e,109.0,280.4,14,33,2,2,page_1,27,0,the
158, ,123.0,280.4,14,33,3,2,page_1,27,0,
159,f,137.0,280.4,14,33,4,2,page_1,28,1,flower-beds
160,l,151.0,280.4,14,33,5,2,page_1,28,1,flower-beds
161,o,165.0,280.4,14,33,6,2,page_1,28,1,flower-beds
162,w,179.0,280.4,14,33,7,2,page_1,28,1,flower-beds
163,e,193.0,280.4,14,33,8,2,page_1,28,1,flower-beds
164,r,207.0,280.4,14,33,9,2,page_1,28,1,flower-beds
165,-,221.0,280.4,14,33,10,2,page_1,28,1,flower-beds
166,b,235.0,280.4,14,33,11,2,page_1,28,1,flower-beds
167,e,249.0,280.4,14,33,12,2,page_1,28,1,flower-beds
168,d,263.0,280.4,14,33,13,2,page_1,28,1,flower-beds
169,s,277.0,280.4,14,33,14,2,page_1,28,1,flower-beds
170, ,291.0,280.4,14,33,15,2,page_1,28,1,
171,s,305.0,280.4,14,33,16,2,page_1,29,2,showed
172,h,319.0,280.4,14,33,17,2,page_1,29,2,showed
173,o,333.0,280.4,14,33,18,2,page_1,29,2,showed
174,w,347.0,280.4,14,33,19,2,page_1,29,2,showed
175,e,361.0,280.4,14,33,20,2,page_1,29,2,showed
176,d,375.0,280.4,14,33,21,2,page_1,29,2,showed
177, ,389.0,280.4,14,33,22,2,page_1,29,2,
178,n,403.0,280.4,14,33,23,2,page_1,30,3,no
179,o,417.0,280.4,14,33,24,2,page_1,30,3,no
180, ,431.0,280.4,14,33,25,2,page_1,30,3,
181,v,445.0,280.4,14,33,26,2,page_1,31,4,very
182,e,459.0,280.4,14,33,27,2,page_1,31,4,very
183,r,473.0,280.4,14,33,28,2,page_1,31,4,very
184,y,487.0,280.4,14,33,29,2,page_1,31,4,very
185, ,501.0,280.4,14,33,30,2,page_1,31,4,
186,c,515.0,280.4,14,33,31,2,page_1,32,5,careful
187,a,529.0,280.4,14,33,32,2,page_1,32,5,careful
188,r,543.0,280.4,14,33,33,2,page_1,32,5,careful
189,e,557.0,280.4,14,33,34,2,page_1,32,5,careful
190,f,571.0,280.4,14,33,35,2,page_1,32,5,careful
191,u,585.0,280.4,14,33,36,2,page_1,32,5,careful
192,l,599.0,280.4,14,33,37,2,page_1,32,5,careful
193, ,613.0,280.4,14,33,38,2,page_1,32,5,
194,t,627.0,280.4,14,33,39,2,page_1,33,6,"tendance,"
195,e,641.0,280.4,14,33,40,2,page_1,33,6,"tendance,"
196,n,655.0,280.4,14,33,41,2,page_1,33,6,"tendance,"
197,d,669.0,280.4,14,33,42,2,page_1,33,6,"tendance,"
198,a,683.0,280.4,14,33,43,2,page_1,33,6,"tendance,"
199,n,697.0,280.4,14,33,44,2,page_1,33,6,"tendance,"
200,c,711.0,280.4,14,33,45,2,page_1,33,6,"tendance,"
201,e,725.0,280.4,14,33,46,2,page_1,33,6,"tendance,"
202,",",739.0,280.4,14,33,47,2,page_1,33,6,"tendance,"
203, ,753.0,280.4,14,33,48,2,page_1,33,6,
204,a,767.0,280.4,14,33,49,2,page_1,34,7,and
205,n,781.0,280.4,14,33,50,2,page_1,34,7,and
206,d,795.0,280.4,14,33,51,2,page_1,34,7,and
207, ,809.0,280.4,14,33,52,2,page_1,34,7,
208,l,823.0,280.4,14,33,53,2,page_1,35,8,large
209,a,837.0,280.4,14,33,54,2,page_1,35,8,large
210,r,851.0,280.4,14,33,55,2,page_1,35,8,large
211,g,865.0,280.4,14,33,56,2,page_1,35,8,large
212,e,879.0,280.4,14,33,57,2,page_1,35,8,large
213, ,893.0,280.4,14,33,58,2,page_1,35,8,
214,c,907.0,280.4,14,33,59,2,page_1,36,9,clumps
215,l,921.0,280.4,14,33,60,2,page_1,36,9,clumps
216,u,935.0,280.4,14,33,61,2,page_1,36,9,clumps
217,m,949.0,280.4,14,33,62,2,page_1,36,9,clumps
218,p,963.0,280.4,14,33,63,2,page_1,36,9,clumps
219,s,977.0,280.4,14,33,64,2,page_1,36,9,clumps
220, ,991.0,280.4,14,33,65,2,page_1,36,9,
221,o,1005.0,280.4,14,33,66,2,page_1,37,10,of
222,f,1019.0,280.4,14,33,67,2,page_1,37,10,of
223, ,1033.0,280.4,14,33,68,2,page_1,37,10,
224,t,1047.0,280.4,14,33,69,2,page_1,38,11,"trees,"
225,r,1061.0,280.4,14,33,70,2,page_1,38,11,"trees,"
226,e,1075.0,280.4,14,33,71,2,page_1,38,11,"trees,"
227,e,1089.0,280.4,14,33,72,2,page_1,38,11,"trees,"
228,s,1103.0,280.4,14,33,73,2,page_1,38,11,"trees,"
229,",",1117.0,280.4,14,33,74,2,page_1,38,11,"trees,"
230,c,81.0,376.09999999999997,14,33,0,3,page_1,39,0,chiefly
231,h,95.0,376.09999999999997,14,33,1,3,page_1,39,0,chiefly
232,i,109.0,376.09999999999997,14,33,2,3,page_1,39,0,chiefly
233,e,123.0,376.09999999999997,14,33,3,3,page_1,39,0,chiefly
234,f,137.0,376.09999999999997,14,33,4,3,page_1,39,0,chiefly
235,l,151.0,376.09999999999997,14,33,5,3,page_1,39,0,chiefly
236,y,165.0,376.09999999999997,14,33,6,3,page_1,39,0,chiefly
237, ,179.0,376.09999999999997,14,33,7,3,page_1,39,0,
238,o,193.0,376.09999999999997,14,33,8,3,page_1,40,1,of
239,f,207.0,376.09999999999997,14,33,9,3,page_1,40,1,of
240, ,221.0,376.09999999999997,14,33,10,3,page_1,40,1,
241,s,235.0,376.09999999999997,14,33,11,3,page_1,41,2,sombre
242,o,249.0,376.09999999999997,14,33,12,3,page_1,41,2,sombre
243,m,263.0,376.09999999999997,14,33,13,3,page_1,41,2,sombre
244,b,277.0,376.09999999999997,14,33,14,3,page_1,41,2,sombre
245,r,291.0,376.09999999999997,14,33,15,3,page_1,41,2,sombre
246,e,305.0,376.09999999999997,14,33,16,3,page_1,41,2,sombre
247, ,319.0,376.09999999999997,14,33,17,3,page_1,41,2,
248,y,333.0,376.09999999999997,14,33,18,3,page_1,42,3,"yews,"
249,e,347.0,376.09999999999997,14,33,19,3,page_1,42,3,"yews,"
250,w,361.0,376.09999999999997,14,33,20,3,page_1,42,3,"yews,"
251,s,375.0,376.09999999999997,14,33,21,3,page_1,42,3,"yews,"
252,",",389.0,376.09999999999997,14,33,22,3,page_1,42,3,"yews,"
253, ,403.0,376.09999999999997,14,33,23,3,page_1,42,3,
254,h,417.0,376.09999999999997,14,33,24,3,page_1,43,4,had
255,a,431.0,376.09999999999997,14,33,25,3,page_1,43,4,had
256,d,445.0,376.09999999999997,14,33,26,3,page_1,43,4,had
257, ,459.0,376.09999999999997,14,33,27,3,page_1,43,4,
258,r,473.0,376.09999999999997,14,33,28,3,page_1,44,5,risen
259,i,487.0,376.09999999999997,14,33,29,3,page_1,44,5,risen
260,s,501.0,376.09999999999997,14,33,30,3,page_1,44,5,risen
261,e,515.0,376.09999999999997,14,33,31,3,page_1,44,5,risen
262,n,529.0,376.09999999999997,14,33,32,3,page_1,44,5,risen
263, ,543.0,376.09999999999997,14,33,33,3,page_1,44,5,
264,h,557.0,376.09999999999997,14,33,34,3,page_1,45,6,"high,"
265,i,571.0,376.09999999999997,14,33,35,3,page_1,45,6,"high,"
266,g,585.0,376.09999999999997,14,33,36,3,page_1,45,6,"high,"
267,h,599.0,376.09999999999997,14,33,37,3,page_1,45,6,"high,"
268,",",613.0,376.09999999999997,14,33,38,3,page_1,45,6,"high,"
269, ,627.0,376.09999999999997,14,33,39,3,page_1,45,6,
270,n,641.0,376.09999999999997,14,33,40,3,page_1,46,7,not
271,o,655.0,376.09999999999997,14,33,41,3,page_1,46,7,not
272,t,669.0,376.09999999999997,14,33,42,3,page_1,46,7,not
273, ,683.0,376.09999999999997,14,33,43,3,page_1,46,7,
274,t,697.0,376.09999999999997,14,33,44,3,page_1,47,8,ten
275,e,711.0,376.09999999999997,14,33,45,3,page_1,47,8,ten
276,n,725.0,376.09999999999997,14,33,46,3,page_1,47,8,ten
277, ,739.0,376.09999999999997,14,33,47,3,page_1,47,8,
278,y,753.0,376.09999999999997,14,33,48,3,page_1,48,9,yards
279,a,767.0,376.09999999999997,14,33,49,3,page_1,48,9,yards
280,r,781.0,376.09999999999997,14,33,50,3,page_1,48,9,yards
281,d,795.0,376.09999999999997,14,33,51,3,page_1,48,9,yards
282,s,809.0,376.09999999999997,14,33,52,3,page_1,48,9,yards
283, ,823.0,376.09999999999997,14,33,53,3,page_1,48,9,
284,f,837.0,376.09999999999997,14,33,54,3,page_1,49,10,from
285,r,851.0,376.09999999999997,14,33,55,3,page_1,49,10,from
286,o,865.0,376.09999999999997,14,33,56,3,page_1,49,10,from
287,m,879.0,376.09999999999997,14,33,57,3,page_1,49,10,from
288, ,893.0,376.09999999999997,14,33,58,3,page_1,49,10,
289,t,907.0,376.09999999999997,14,33,59,3,page_1,50,11,the
290,h,921.0,376.09999999999997,14,33,60,3,page_1,50,11,the
291,e,935.0,376.09999999999997,14,33,61,3,page_1,50,11,the
292, ,949.0,376.09999999999997,14,33,62,3,page_1,50,11,
293,w,963.0,376.09999999999997,14,33,63,3,page_1,51,12,windows.
294,i,977.0,376.09999999999997,14,33,64,3,page_1,51,12,windows.
295,n,991.0,376.09999999999997,14,33,65,3,page_1,51,12,windows.
296,d,1005.0,376.09999999999997,14,33,66,3,page_1,51,12,windows.
297,o,1019.0,376.09999999999997,14,33,67,3,page_1,51,12,windows.
298,w,1033.0,376.09999999999997,14,33,68,3,page_1,51,12,windows.
299,s,1047.0,376.09999999999997,14,33,69,3,page_1,51,12,windows.
300,.,1061.0,376.09999999999997,14,33,70,3,page_1,51,12,windows.
301, ,1075.0,376.09999999999997,14,33,71,3,page_1,51,12,
302,T,1089.0,376.09999999999997,14,33,72,3,page_1,52,13,The
303,h,1103.0,376.09999999999997,14,33,73,3,page_1,52,13,The
304,e,1117.0,376.09999999999997,14,33,74,3,page_1,52,13,The
305,b,81.0,471.79999999999995,14,33,0,4,page_1,53,0,"building,"
306,u,95.0,471.79999999999995,14,33,1,4,page_1,53,0,"building,"
307,i,109.0,471.79999999999995,14,33,2,4,page_1,53,0,"building,"
308,l,123.0,471.79999999999995,14,33,3,4,page_1,53,0,"building,"
309,d,137.0,471.79999999999995,14,33,4,4,page_1,53,0,"building,"
310,i,151.0,471.79999999999995,14,33,5,4,page_1,53,0,"building,"
311,n,165.0,471.79999999999995,14,33,6,4,page_1,53,0,"building,"
312,g,179.0,471.79999999999995,14,33,7,4,page_1,53,0,"building,"
313,",",193.0,471.79999999999995,14,33,8,4,page_1,53,0,"building,"
314, ,207.0,471.79999999999995,14,33,9,4,page_1,53,0,
315,o,221.0,471.79999999999995,14,33,10,4,page_1,54,1,of
316,f,235.0,471.79999999999995,14,33,11,4,page_1,54,1,of
317, ,249.0,471.79999999999995,14,33,12,4,page_1,54,1,
318,g,263.0,471.79999999999995,14,33,13,4,page_1,55,2,greenish
319,r,277.0,471.79999999999995,14,33,14,4,page_1,55,2,greenish
320,e,291.0,471.79999999999995,14,33,15,4,page_1,55,2,greenish
321,e,305.0,471.79999999999995,14,33,16,4,page_1,55,2,greenish
322,n,319.0,471.79999999999995,14,33,17,4,page_1,55,2,greenish
323,i,333.0,471.79999999999995,14,33,18,4,page_1,55,2,greenish
324,s,347.0,471.79999999999995,14,33,19,4,page_1,55,2,greenish
325,h,361.0,471.79999999999995,14,33,20,4,page_1,55,2,greenish
326, ,375.0,471.79999999999995,14,33,21,4,page_1,55,2,
327,s,389.0,471.79999999999995,14,33,22,4,page_1,56,3,"stone,"
328,t,403.0,471.79999999999995,14,33,23,4,page_1,56,3,"stone,"
329,o,417.0,471.79999999999995,14,33,24,4,page_1,56,3,"stone,"
330,n,431.0,471.79999999999995,14,33,25,4,page_1,56,3,"stone,"
331,e,445.0,471.79999999999995,14,33,26,4,page_1,56,3,"stone,"
332,",",459.0,471.79999999999995,14,33,27,4,page_1,56,3,"stone,"
333, ,473.0,471.79999999999995,14,33,28,4,page_1,56,3,
334,w,487.0,471.79999999999995,14,33,29,4,page_1,57,4,was
335,a,501.0,471.79999999999995,14,33,30,4,page_1,57,4,was
336,s,515.0,471.79999999999995,14,33,31,4,page_1,57,4,was
337, ,529.0,471.79999999999995,14,33,32,4,page_1,57,4,
338,i,543.0,471.79999999999995,14,33,33,4,page_1,58,5,in
339,n,557.0,471.79999999999995,14,33,34,4,page_1,58,5,in
340, ,571.0,471.79999999999995,14,33,35,4,page_1,58,5,
341,t,585.0,471.79999999999995,14,33,36,4,page_1,59,6,the
342,h,599.0,471.79999999999995,14,33,37,4,page_1,59,6,the
343,e,613.0,471.79999999999995,14,33,38,4,page_1,59,6,the
344, ,627.0,471.79999999999995,14,33,39,4,page_1,59,6,
345,o,641.0,471.79999999999995,14,33,40,4,page_1,60,7,old
346,l,655.0,471.79999999999995,14,33,41,4,page_1,60,7,old
347,d,669.0,471.79999999999995,14,33,42,4,page_1,60,7,old
348, ,683.0,471.79999999999995,14,33,43,4,page_1,60,7,
349,E,697.0,471.79999999999995,14,33,44,4,page_1,61,8,English
350,n,711.0,471.79999999999995,14,33,45,4,page_1,61,8,English
351,g,725.0,471.79999999999995,14,33,46,4,page_1,61,8,English
352,l,739.0,471.79999999999995,14,33,47,4,page_1,61,8,English
353,i,753.0,471.79999999999995,14,33,48,4,page_1,61,8,English
354,s,767.0,471.79999999999995,14,33,49,4,page_1,61,8,English
355,h,781.0,471.79999999999995,14,33,50,4,page_1,61,8,English
356, ,795.0,471.79999999999995,14,33,51,4,page_1,61,8,
357,s,809.0,471.79999999999995,14,33,52,4,page_1,62,9,"style,"
358,t,823.0,471.79999999999995,14,33,53,4,page_1,62,9,"style,"
359,y,837.0,471.79999999999995,14,33,54,4,page_1,62,9,"style,"
360,l,851.0,471.79999999999995,14,33,55,4,page_1,62,9,"style,"
361,e,865.0,471.79999999999995,14,33,56,4,page_1,62,9,"style,"
362,",",879.0,471.79999999999995,14,33,57,4,page_1,62,9,"style,"
363, ,893.0,471.79999999999995,14,33,58,4,page_1,62,9,
364,n,907.0,471.79999999999995,14,33,59,4,page_1,63,10,not
365,o,921.0,471.79999999999995,14,33,60,4,page_1,63,10,not
366,t,935.0,471.79999999999995,14,33,61,4,page_1,63,10,not
367, ,949.0,471.79999999999995,14,33,62,4,page_1,63,10,
368,u,963.0,471.79999999999995,14,33,63,4,page_1,64,11,"ugly,"
369,g,977.0,471.79999999999995,14,33,64,4,page_1,64,11,"ugly,"
370,l,991.0,471.79999999999995,14,33,65,4,page_1,64,11,"ugly,"
371,y,1005.0,471.79999999999995,14,33,66,4,page_1,64,11,"ugly,"
372,",",1019.0,471.79999999999995,14,33,67,4,page_1,64,11,"ugly,"
373, ,1033.0,471.79999999999995,14,33,68,4,page_1,64,11,
374,b,1047.0,471.79999999999995,14,33,69,4,page_1,65,12,but
375,u,1061.0,471.79999999999995,14,33,70,4,page_1,65,12,but
376,t,1075.0,471.79999999999995,14,33,71,4,page_1,65,12,but
377,s,81.0,567.5,14,33,0,5,page_1,66,0,small-windowed
378,m,95.0,567.5,14,33,1,5,page_1,66,0,small-windowed
379,a,109.0,567.5,14,33,2,5,page_1,66,0,small-windowed
380,l,123.0,567.5,14,33,3,5,page_1,66,0,small-windowed
381,l,137.0,567.5,14,33,4,5,page_1,66,0,small-windowed
382,-,151.0,567.5,14,33,5,5,page_1,66,0,small-windowed
383,w,165.0,567.5,14,33,6,5,page_1,66,0,small-windowed
384,i,179.0,567.5,14,33,7,5,page_1,66,0,small-windowed
385,n,193.0,567.5,14,33,8,5,page_1,66,0,small-windowed
386,d,207.0,567.5,14,33,9,5,page_1,66,0,small-windowed
387,o,221.0,567.5,14,33,10,5,page_1,66,0,small-windowed
388,w,235.0,567.5,14,33,11,5,page_1,66,0,small-windowed
389,e,249.0,567.5,14,33,12,5,page_1,66,0,small-windowed
390,d,263.0,567.5,14,33,13,5,page_1,66,0,small-windowed
391, ,277.0,567.5,14,33,14,5,page_1,66,0,
392,a,291.0,567.5,14,33,15,5,page_1,67,1,and
393,n,305.0,567.5,14,33,16,5,page_1,67,1,and
394,d,319.0,567.5,14,33,17,5,page_1,67,1,and
395, ,333.0,567.5,14,33,18,5,page_1,67,1,
396,m,347.0,567.5,14,33,19,5,page_1,68,2,melancholy-looking:
397,e,361.0,567.5,14,33,20,5,page_1,68,2,melancholy-looking:
398,l,375.0,567.5,14,33,21,5,page_1,68,2,melancholy-looking:
399,a,389.0,567.5,14,33,22,5,page_1,68,2,melancholy-looking:
400,n,403.0,567.5,14,33,23,5,page_1,68,2,melancholy-looking:
401,c,417.0,567.5,14,33,24,5,page_1,68,2,melancholy-looking:
402,h,431.0,567.5,14,33,25,5,page_1,68,2,melancholy-looking:
403,o,445.0,567.5,14,33,26,5,page_1,68,2,melancholy-looking:
404,l,459.0,567.5,14,33,27,5,page_1,68,2,melancholy-looking:
405,y,473.0,567.5,14,33,28,5,page_1,68,2,melancholy-looking:
406,-,487.0,567.5,14,33,29,5,page_1,68,2,melancholy-looking:
407,l,501.0,567.5,14,33,30,5,page_1,68,2,melancholy-looking:
408,o,515.0,567.5,14,33,31,5,page_1,68,2,melancholy-looking:
409,o,529.0,567.5,14,33,32,5,page_1,68,2,melancholy-looking:
410,k,543.0,567.5,14,33,33,5,page_1,68,2,melancholy-looking:
411,i,557.0,567.5,14,33,34,5,page_1,68,2,melancholy-looking:
412,n,571.0,567.5,14,33,35,5,page_1,68,2,melancholy-looking:
413,g,585.0,567.5,14,33,36,5,page_1,68,2,melancholy-looking:
414,:,599.0,567.5,14,33,37,5,page_1,68,2,melancholy-looking:
415, ,613.0,567.5,14,33,38,5,page_1,68,2,
416,t,627.0,567.5,14,33,39,5,page_1,69,3,the
417,h,641.0,567.5,14,33,40,5,page_1,69,3,the
418,e,655.0,567.5,14,33,41,5,page_1,69,3,the
419, ,669.0,567.5,14,33,42,5,page_1,69,3,
420,s,683.0,567.5,14,33,43,5,page_1,70,4,sort
