char,x,y,width,height,char_idx_in_line,line_idx,page,word
r,440.0,49,13.0,21,26,0,page_2,are
e,453.0,49,13.0,21,27,0,page_2,are
 ,466.0,49,13.0,21,28,0,page_2,
k,479.0,49,13.0,21,29,0,page_2,known
n,492.0,49,13.0,21,30,0,page_2,known
o,505.0,49,13.0,21,31,0,page_2,known
w,518.0,49,13.0,21,32,0,page_2,known
n,531.0,49,13.0,21,33,0,page_2,known
 ,544.0,49,13.0,21,34,0,page_2,
t,557.0,49,13.0,21,35,0,page_2,to
o,570.0,49,13.0,21,36,0,page_2,to
 ,583.0,49,13.0,21,37,0,page_2,
r,596.0,49,13.0,21,38,0,page_2,reflect
e,609.0,49,13.0,21,39,0,page_2,reflect
f,622.0,49,13.0,21,40,0,page_2,reflect
l,635.0,49,13.0,21,41,0,page_2,reflect
e,648.0,49,13.0,21,42,0,page_2,reflect
c,661.0,49,13.0,21,43,0,page_2,reflect
t,674.0,49,13.0,21,44,0,page_2,reflect
 ,687.0,49,13.0,21,45,0,page_2,
c,700.0,49,13.0,21,46,0,page_2,cognitive
o,713.0,49,13.0,21,47,0,page_2,cognitive
g,726.0,49,13.0,21,48,0,page_2,cognitive
n,739.0,49,13.0,21,49,0,page_2,cognitive
i,752.0,49,13.0,21,50,0,page_2,cognitive
t,765.0,49,13.0,21,51,0,page_2,cognitive
i,778.0,49,13.0,21,52,0,page_2,cognitive
v,791.0,49,13.0,21,53,0,page_2,cognitive
e,804.0,49,13.0,21,54,0,page_2,cognitive
 ,817.0,49,13.0,21,55,0,page_2,
p,830.0,49,13.0,21,56,0,page_2,processes
r,843.0,49,13.0,21,57,0,page_2,processes
o,856.0,49,13.0,21,58,0,page_2,processes
c,869.0,49,13.0,21,59,0,page_2,processes
e,882.0,49,13.0,21,60,0,page_2,processes
s,895.0,49,13.0,21,61,0,page_2,processes
s,908.0,49,13.0,21,62,0,page_2,processes
e,921.0,49,13.0,21,63,0,page_2,processes
s,934.0,49,13.0,21,64,0,page_2,processes
 ,947.0,49,13.0,21,65,0,page_2,
i,960.0,49,13.0,21,66,0,page_2,involved
n,973.0,49,13.0,21,67,0,page_2,involved
v,986.0,49,13.0,21,68,0,page_2,involved
o,999.0,49,13.0,21,69,0,page_2,involved
l,1012.0,49,13.0,21,70,0,page_2,involved
v,1025.0,49,13.0,21,71,0,page_2,involved
e,1038.0,49,13.0,21,72,0,page_2,involved
d,1051.0,49,13.0,21,73,0,page_2,involved
 ,1064.0,49,13.0,21,74,0,page_2,
i,1077.0,49,13.0,21,75,0,page_2,in
n,1090.0,49,13.0,21,76,0,page_2,in
r,102.0,148,13.0,21,0,2,page_2,reading
e,115.0,148,13.0,21,1,2,page_2,reading
a,128.0,148,13.0,21,2,2,page_2,reading
d,141.0,148,13.0,21,3,2,page_2,reading
i,154.0,148,13.0,21,4,2,page_2,reading
n,167.0,148,13.0,21,5,2,page_2,reading
g,180.0,148,13.0,21,6,2,page_2,reading
 ,193.0,148,13.0,21,7,2,page_2,
c,206.0,148,13.0,21,8,2,page_2,comprehension
o,219.0,148,13.0,21,9,2,page_2,comprehension
m,232.0,148,13.0,21,10,2,page_2,comprehension
p,245.0,148,13.0,21,11,2,page_2,comprehension
r,258.0,148,13.0,21,12,2,page_2,comprehension
e,271.0,148,13.0,21,13,2,page_2,comprehension
h,284.0,148,13.0,21,14,2,page_2,comprehension
e,297.0,148,13.0,21,15,2,page_2,comprehension
n,310.0,148,13.0,21,16,2,page_2,comprehension
s,323.0,148,13.0,21,17,2,page_2,comprehension
i,336.0,148,13.0,21,18,2,page_2,comprehension
o,349.0,148,13.0,21,19,2,page_2,comprehension
n,362.0,148,13.0,21,20,2,page_2,comprehension
 ,375.0,148,13.0,21,21,2,page_2,
a,388.0,148,13.0,21,22,2,page_2,at
t,401.0,148,13.0,21,23,2,page_2,at
 ,414.0,148,13.0,21,24,2,page_2,
a,427.0,148,13.0,21,25,2,page_2,all
l,440.0,148,13.0,21,26,2,page_2,all
l,453.0,148,13.0,21,27,2,page_2,all
 ,466.0,148,13.0,21,28,2,page_2,
l,479.0,148,13.0,21,29,2,page_2,linguistic
i,492.0,148,13.0,21,30,2,page_2,linguistic
n,505.0,148,13.0,21,31,2,page_2,linguistic
g,518.0,148,13.0,21,32,2,page_2,linguistic
u,531.0,148,13.0,21,33,2,page_2,linguistic
i,544.0,148,13.0,21,34,2,page_2,linguistic
s,557.0,148,13.0,21,35,2,page_2,linguistic
t,570.0,148,13.0,21,36,2,page_2,linguistic
i,583.0,148,13.0,21,37,2,page_2,linguistic
c,596.0,148,13.0,21,38,2,page_2,linguistic
 ,609.0,148,13.0,21,39,2,page_2,
l,622.0,148,13.0,21,40,2,page_2,"levels,"
e,635.0,148,13.0,21,41,2,page_2,"levels,"
v,648.0,148,13.0,21,42,2,page_2,"levels,"
e,661.0,148,13.0,21,43,2,page_2,"levels,"
l,674.0,148,13.0,21,44,2,page_2,"levels,"
s,687.0,148,13.0,21,45,2,page_2,"levels,"
",",700.0,148,13.0,21,46,2,page_2,"levels,"
 ,713.0,148,13.0,21,47,2,page_2,
f,726.0,148,13.0,21,48,2,page_2,from
r,739.0,148,13.0,21,49,2,page_2,from
o,752.0,148,13.0,21,50,2,page_2,from
m,765.0,148,13.0,21,51,2,page_2,from
 ,778.0,148,13.0,21,52,2,page_2,
t,791.0,148,13.0,21,53,2,page_2,the
h,804.0,148,13.0,21,54,2,page_2,the
e,817.0,148,13.0,21,55,2,page_2,the
 ,830.0,148,13.0,21,56,2,page_2,
s,843.0,148,13.0,21,57,2,page_2,sub-lexical
u,856.0,148,13.0,21,58,2,page_2,sub-lexical
b,869.0,148,13.0,21,59,2,page_2,sub-lexical
-,882.0,148,13.0,21,60,2,page_2,sub-lexical
l,895.0,148,13.0,21,61,2,page_2,sub-lexical
e,908.0,148,13.0,21,62,2,page_2,sub-lexical
x,921.0,148,13.0,21,63,2,page_2,sub-lexical
i,934.0,148,13.0,21,64,2,page_2,sub-lexical
c,947.0,148,13.0,21,65,2,page_2,sub-lexical
a,960.0,148,13.0,21,66,2,page_2,sub-lexical
l,973.0,148,13.0,21,67,2,page_2,sub-lexical
 ,986.0,148,13.0,21,68,2,page_2,
t,999.0,148,13.0,21,69,2,page_2,to
o,1012.0,148,13.0,21,70,2,page_2,to
 ,1025.0,148,13.0,21,71,2,page_2,
t,1038.0,148,13.0,21,72,2,page_2,the
h,1051.0,148,13.0,21,73,2,page_2,the
e,1064.0,148,13.0,21,74,2,page_2,the
d,102.0,247,13.0,21,0,4,page_2,discourse
i,115.0,247,13.0,21,1,4,page_2,discourse
s,128.0,247,13.0,21,2,4,page_2,discourse
c,141.0,247,13.0,21,3,4,page_2,discourse
o,154.0,247,13.0,21,4,4,page_2,discourse
u,167.0,247,13.0,21,5,4,page_2,discourse
r,180.0,247,13.0,21,6,4,page_2,discourse
s,193.0,247,13.0,21,7,4,page_2,discourse
e,206.0,247,13.0,21,8,4,page_2,discourse
 ,219.0,247,13.0,21,9,4,page_2,
l,232.0,247,13.0,21,10,4,page_2,level.
e,245.0,247,13.0,21,11,4,page_2,level.
v,258.0,247,13.0,21,12,4,page_2,level.
e,271.0,247,13.0,21,13,4,page_2,level.
l,284.0,247,13.0,21,14,4,page_2,level.
.,297.0,247,13.0,21,15,4,page_2,level.
 ,310.0,247,13.0,21,16,4,page_2,
T,323.0,247,13.0,21,17,4,page_2,This
h,336.0,247,13.0,21,18,4,page_2,This
i,349.0,247,13.0,21,19,4,page_2,This
s,362.0,247,13.0,21,20,4,page_2,This
 ,375.0,247,13.0,21,21,4,page_2,
m,388.0,247,13.0,21,22,4,page_2,means
e,401.0,247,13.0,21,23,4,page_2,means
a,414.0,247,13.0,21,24,4,page_2,means
n,427.0,247,13.0,21,25,4,page_2,means
s,440.0,247,13.0,21,26,4,page_2,means
 ,453.0,247,13.0,21,27,4,page_2,
t,466.0,247,13.0,21,28,4,page_2,that
h,479.0,247,13.0,21,29,4,page_2,that
a,492.0,247,13.0,21,30,4,page_2,that
t,505.0,247,13.0,21,31,4,page_2,that
 ,518.0,247,13.0,21,32,4,page_2,
r,531.0,247,13.0,21,33,4,page_2,reading
e,544.0,247,13.0,21,34,4,page_2,reading
a,557.0,247,13.0,21,35,4,page_2,reading
d,570.0,247,13.0,21,36,4,page_2,reading
i,583.0,247,13.0,21,37,4,page_2,reading
n,596.0,247,13.0,21,38,4,page_2,reading
g,609.0,247,13.0,21,39,4,page_2,reading
 ,622.0,247,13.0,21,40,4,page_2,
c,635.0,247,13.0,21,41,4,page_2,comprehension
o,648.0,247,13.0,21,42,4,page_2,comprehension
m,661.0,247,13.0,21,43,4,page_2,comprehension
p,674.0,247,13.0,21,44,4,page_2,comprehension
r,687.0,247,13.0,21,45,4,page_2,comprehension
e,700.0,247,13.0,21,46,4,page_2,comprehension
h,713.0,247,13.0,21,47,4,page_2,comprehension
e,726.0,247,13.0,21,48,4,page_2,comprehension
n,739.0,247,13.0,21,49,4,page_2,comprehension
s,752.0,247,13.0,21,50,4,page_2,comprehension
i,765.0,247,13.0,21,51,4,page_2,comprehension
o,778.0,247,13.0,21,52,4,page_2,comprehension
n,791.0,247,13.0,21,53,4,page_2,comprehension
 ,804.0,247,13.0,21,54,4,page_2,
a,817.0,247,13.0,21,55,4,page_2,and
n,830.0,247,13.0,21,56,4,page_2,and
d,843.0,247,13.0,21,57,4,page_2,and
 ,856.0,247,13.0,21,58,4,page_2,
o,869.0,247,13.0,21,59,4,page_2,other
t,882.0,247,13.0,21,60,4,page_2,other
h,895.0,247,13.0,21,61,4,page_2,other
e,908.0,247,13.0,21,62,4,page_2,other
r,921.0,247,13.0,21,63,4,page_2,other
 ,934.0,247,13.0,21,64,4,page_2,
p,947.0,247,13.0,21,65,4,page_2,properties
r,960.0,247,13.0,21,66,4,page_2,properties
o,973.0,247,13.0,21,67,4,page_2,properties
p,986.0,247,13.0,21,68,4,page_2,properties
e,999.0,247,13.0,21,69,4,page_2,properties
r,1012.0,247,13.0,21,70,4,page_2,properties
t,1025.0,247,13.0,21,71,4,page_2,properties
i,1038.0,247,13.0,21,72,4,page_2,properties
e,1051.0,247,13.0,21,73,4,page_2,properties
s,1064.0,247,13.0,21,74,4,page_2,properties
 ,1077.0,247,13.0,21,75,4,page_2,
o,1090.0,247,13.0,21,76,4,page_2,of
f,1103.0,247,13.0,21,77,4,page_2,of
 ,1116.0,247,13.0,21,78,4,page_2,
t,1129.0,247,13.0,21,79,4,page_2,the
h,1142.0,247,13.0,21,80,4,page_2,the
e,1155.0,247,13.0,21,81,4,page_2,the
t,102.0,346,13.0,22,0,6,page_2,text
e,115.0,346,13.0,22,1,6,page_2,text
x,128.0,346,13.0,22,2,6,page_2,text
t,141.0,346,13.0,22,3,6,page_2,text
 ,154.0,346,13.0,22,4,6,page_2,
a,167.0,346,13.0,22,5,6,page_2,and/or
n,180.0,346,13.0,22,6,6,page_2,and/or
d,193.0,346,13.0,22,7,6,page_2,and/or
/,206.0,346,13.0,22,8,6,page_2,and/or
o,219.0,346,13.0,22,9,6,page_2,and/or
r,232.0,346,13.0,22,10,6,page_2,and/or
 ,245.0,346,13.0,22,11,6,page_2,
t,258.0,346,13.0,22,12,6,page_2,the
h,271.0,346,13.0,22,13,6,page_2,the
e,284.0,346,13.0,22,14,6,page_2,the
 ,297.0,346,13.0,22,15,6,page_2,
r,310.0,346,13.0,22,16,6,page_2,reader
e,323.0,346,13.0,22,17,6,page_2,reader
a,336.0,346,13.0,22,18,6,page_2,reader
d,349.0,346,13.0,22,19,6,page_2,reader
e,362.0,346,13.0,22,20,6,page_2,reader
r,375.0,346,13.0,22,21,6,page_2,reader
 ,388.0,346,13.0,22,22,6,page_2,
s,401.0,346,13.0,22,23,6,page_2,should
h,414.0,346,13.0,22,24,6,page_2,should
o,427.0,346,13.0,22,25,6,page_2,should
u,440.0,346,13.0,22,26,6,page_2,should
l,453.0,346,13.0,22,27,6,page_2,should
d,466.0,346,13.0,22,28,6,page_2,should
 ,479.0,346,13.0,22,29,6,page_2,
b,492.0,346,13.0,22,30,6,page_2,be
e,505.0,346,13.0,22,31,6,page_2,be
 ,518.0,346,13.0,22,32,6,page_2,
p,531.0,346,13.0,22,33,6,page_2,possible
o,544.0,346,13.0,22,34,6,page_2,possible
s,557.0,346,13.0,22,35,6,page_2,possible
s,570.0,346,13.0,22,36,6,page_2,possible
i,583.0,346,13.0,22,37,6,page_2,possible
b,596.0,346,13.0,22,38,6,page_2,possible
l,609.0,346,13.0,22,39,6,page_2,possible
e,622.0,346,13.0,22,40,6,page_2,possible
 ,635.0,346,13.0,22,41,6,page_2,
t,648.0,346,13.0,22,42,6,page_2,to
o,661.0,346,13.0,22,43,6,page_2,to
 ,674.0,346,13.0,22,44,6,page_2,
i,687.0,346,13.0,22,45,6,page_2,infer
n,700.0,346,13.0,22,46,6,page_2,infer
f,713.0,346,13.0,22,47,6,page_2,infer
e,726.0,346,13.0,22,48,6,page_2,infer
r,739.0,346,13.0,22,49,6,page_2,infer
 ,752.0,346,13.0,22,50,6,page_2,
f,765.0,346,13.0,22,51,6,page_2,from
r,778.0,346,13.0,22,52,6,page_2,from
o,791.0,346,13.0,22,53,6,page_2,from
m,804.0,346,13.0,22,54,6,page_2,from
 ,817.0,346,13.0,22,55,6,page_2,
e,830.0,346,13.0,22,56,6,page_2,eye
y,843.0,346,13.0,22,57,6,page_2,eye
e,856.0,346,13.0,22,58,6,page_2,eye
 ,869.0,346,13.0,22,59,6,page_2,
m,882.0,346,13.0,22,60,6,page_2,movements.
o,895.0,346,13.0,22,61,6,page_2,movements.
v,908.0,346,13.0,22,62,6,page_2,movements.
e,921.0,346,13.0,22,63,6,page_2,movements.
m,934.0,346,13.0,22,64,6,page_2,movements.
e,947.0,346,13.0,22,65,6,page_2,movements.
n,960.0,346,13.0,22,66,6,page_2,movements.
t,973.0,346,13.0,22,67,6,page_2,movements.
s,986.0,346,13.0,22,68,6,page_2,movements.
.,999.0,346,13.0,22,69,6,page_2,movements.
C,102.0,446,13.0,21,0,8,page_2,"Consequently,"
o,115.0,446,13.0,21,1,8,page_2,"Consequently,"
n,128.0,446,13.0,21,2,8,page_2,"Consequently,"
s,141.0,446,13.0,21,3,8,page_2,"Consequently,"
e,154.0,446,13.0,21,4,8,page_2,"Consequently,"
q,167.0,446,13.0,21,5,8,page_2,"Consequently,"
u,180.0,446,13.0,21,6,8,page_2,"Consequently,"
e,193.0,446,13.0,21,7,8,page_2,"Consequently,"
n,206.0,446,13.0,21,8,8,page_2,"Consequently,"
t,219.0,446,13.0,21,9,8,page_2,"Consequently,"
l,232.0,446,13.0,21,10,8,page_2,"Consequently,"
y,245.0,446,13.0,21,11,8,page_2,"Consequently,"
",",258.0,446,13.0,21,12,8,page_2,"Consequently,"
 ,271.0,446,13.0,21,13,8,page_2,
w,284.0,446,13.0,21,14,8,page_2,we
e,297.0,446,13.0,21,15,8,page_2,we
 ,310.0,446,13.0,21,16,8,page_2,
d,323.0,446,13.0,21,17,8,page_2,develop
e,336.0,446,13.0,21,18,8,page_2,develop
v,349.0,446,13.0,21,19,8,page_2,develop
e,362.0,446,13.0,21,20,8,page_2,develop
l,375.0,446,13.0,21,21,8,page_2,develop
o,388.0,446,13.0,21,22,8,page_2,develop
p,401.0,446,13.0,21,23,8,page_2,develop
 ,414.0,446,13.0,21,24,8,page_2,
t,427.0,446,13.0,21,25,8,page_2,the
h,440.0,446,13.0,21,26,8,page_2,the
e,453.0,446,13.0,21,27,8,page_2,the
 ,466.0,446,13.0,21,28,8,page_2,
f,479.0,446,13.0,21,29,8,page_2,first
i,492.0,446,13.0,21,30,8,page_2,first
r,505.0,446,13.0,21,31,8,page_2,first
s,518.0,446,13.0,21,32,8,page_2,first
t,531.0,446,13.0,21,33,8,page_2,first
 ,544.0,446,13.0,21,34,8,page_2,
n,557.0,446,13.0,21,35,8,page_2,neural
e,570.0,446,13.0,21,36,8,page_2,neural
u,583.0,446,13.0,21,37,8,page_2,neural
r,596.0,446,13.0,21,38,8,page_2,neural
a,609.0,446,13.0,21,39,8,page_2,neural
l,622.0,446,13.0,21,40,8,page_2,neural
 ,635.0,446,13.0,21,41,8,page_2,
s,648.0,446,13.0,21,42,8,page_2,sequence
e,661.0,446,13.0,21,43,8,page_2,sequence
q,674.0,446,13.0,21,44,8,page_2,sequence
u,687.0,446,13.0,21,45,8,page_2,sequence
e,700.0,446,13.0,21,46,8,page_2,sequence
n,713.0,446,13.0,21,47,8,page_2,sequence
c,726.0,446,13.0,21,48,8,page_2,sequence
e,739.0,446,13.0,21,49,8,page_2,sequence
 ,752.0,446,13.0,21,50,8,page_2,
a,765.0,446,13.0,21,51,8,page_2,architecture
r,778.0,446,13.0,21,52,8,page_2,architecture
c,791.0,446,13.0,21,53,8,page_2,architecture
h,804.0,446,13.0,21,54,8,page_2,architecture
i,817.0,446,13.0,21,55,8,page_2,architecture
t,830.0,446,13.0,21,56,8,page_2,architecture
e,843.0,446,13.0,21,57,8,page_2,architecture
c,856.0,446,13.0,21,58,8,page_2,architecture
t,869.0,446,13.0,21,59,8,page_2,architecture
u,882.0,446,13.0,21,60,8,page_2,architecture
r,895.0,446,13.0,21,61,8,page_2,architecture
e,908.0,446,13.0,21,62,8,page_2,architecture
 ,921.0,446,13.0,21,63,8,page_2,
f,934.0,446,13.0,21,64,8,page_2,for
o,947.0,446,13.0,21,65,8,page_2,for
r,960.0,446,13.0,21,66,8,page_2,for
 ,973.0,446,13.0,21,67,8,page_2,
t,986.0,446,13.0,21,68,8,page_2,this
h,999.0,446,13.0,21,69,8,page_2,this
i,1012.0,446,13.0,21,70,8,page_2,this
s,1025.0,446,13.0,21,71,8,page_2,this
 ,1038.0,446,13.0,21,72,8,page_2,
t,1051.0,446,13.0,21,73,8,page_2,type
y,1064.0,446,13.0,21,74,8,page_2,type
p,1077.0,446,13.0,21,75,8,page_2,type
e,1090.0,446,13.0,21,76,8,page_2,type
 ,1103.0,446,13.0,21,77,8,page_2,
o,1116.0,446,13.0,21,78,8,page_2,of
f,1129.0,446,13.0,21,79,8,page_2,of
t,102.0,545,13.0,21,0,10,page_2,tasks
a,115.0,545,13.0,21,1,10,page_2,tasks
s,128.0,545,13.0,21,2,10,page_2,tasks
k,141.0,545,13.0,21,3,10,page_2,tasks
s,154.0,545,13.0,21,4,10,page_2,tasks
 ,167.0,545,13.0,21,5,10,page_2,
w,180.0,545,13.0,21,6,10,page_2,which
h,193.0,545,13.0,21,7,10,page_2,which
i,206.0,545,13.0,21,8,10,page_2,which
c,219.0,545,13.0,21,9,10,page_2,which
h,232.0,545,13.0,21,10,10,page_2,which
 ,245.0,545,13.0,21,11,10,page_2,
m,258.0,545,13.0,21,12,10,page_2,models
o,271.0,545,13.0,21,13,10,page_2,models
d,284.0,545,13.0,21,14,10,page_2,models
e,297.0,545,13.0,21,15,10,page_2,models
l,310.0,545,13.0,21,16,10,page_2,models
s,323.0,545,13.0,21,17,10,page_2,models
 ,336.0,545,13.0,21,18,10,page_2,
s,349.0,545,13.0,21,19,10,page_2,scan
c,362.0,545,13.0,21,20,10,page_2,scan
a,375.0,545,13.0,21,21,10,page_2,scan
n,388.0,545,13.0,21,22,10,page_2,scan
 ,401.0,545,13.0,21,23,10,page_2,
p,414.0,545,13.0,21,24,10,page_2,paths
a,427.0,545,13.0,21,25,10,page_2,paths
t,440.0,545,13.0,21,26,10,page_2,paths
h,453.0,545,13.0,21,27,10,page_2,paths
s,466.0,545,13.0,21,28,10,page_2,paths
 ,479.0,545,13.0,21,29,10,page_2,
i,492.0,545,13.0,21,30,10,page_2,in
n,505.0,545,13.0,21,31,10,page_2,in
 ,518.0,545,13.0,21,32,10,page_2,
r,531.0,545,13.0,21,33,10,page_2,reading
e,544.0,545,13.0,21,34,10,page_2,reading
a,557.0,545,13.0,21,35,10,page_2,reading
d,570.0,545,13.0,21,36,10,page_2,reading
i,583.0,545,13.0,21,37,10,page_2,reading
n,596.0,545,13.0,21,38,10,page_2,reading
g,609.0,545,13.0,21,39,10,page_2,reading
 ,622.0,545,13.0,21,40,10,page_2,
a,635.0,545,13.0,21,41,10,page_2,and
n,648.0,545,13.0,21,42,10,page_2,and
d,661.0,545,13.0,21,43,10,page_2,and
 ,674.0,545,13.0,21,44,10,page_2,
i,687.0,545,13.0,21,45,10,page_2,incorporates
n,700.0,545,13.0,21,46,10,page_2,incorporates
c,713.0,545,13.0,21,47,10,page_2,incorporates
o,726.0,545,13.0,21,48,10,page_2,incorporates
r,739.0,545,13.0,21,49,10,page_2,incorporates
p,752.0,545,13.0,21,50,10,page_2,incorporates
o,765.0,545,13.0,21,51,10,page_2,incorporates
r,778.0,545,13.0,21,52,10,page_2,incorporates
a,791.0,545,13.0,21,53,10,page_2,incorporates
t,804.0,545,13.0,21,54,10,page_2,incorporates
e,817.0,545,13.0,21,55,10,page_2,incorporates
s,830.0,545,13.0,21,56,10,page_2,incorporates
 ,843.0,545,13.0,21,57,10,page_2,
l,856.0,545,13.0,21,58,10,page_2,"lexical,"
e,869.0,545,13.0,21,59,10,page_2,"lexical,"
x,882.0,545,13.0,21,60,10,page_2,"lexical,"
i,895.0,545,13.0,21,61,10,page_2,"lexical,"
c,908.0,545,13.0,21,62,10,page_2,"lexical,"
a,921.0,545,13.0,21,63,10,page_2,"lexical,"
l,934.0,545,13.0,21,64,10,page_2,"lexical,"
",",947.0,545,13.0,21,65,10,page_2,"lexical,"
 ,960.0,545,13.0,21,66,10,page_2,
s,973.0,545,13.0,21,67,10,page_2,semantic
e,986.0,545,13.0,21,68,10,page_2,semantic
m,999.0,545,13.0,21,69,10,page_2,semantic
a,1012.0,545,13.0,21,70,10,page_2,semantic
n,1025.0,545,13.0,21,71,10,page_2,semantic
t,1038.0,545,13.0,21,72,10,page_2,semantic
i,1051.0,545,13.0,21,73,10,page_2,semantic
c,1064.0,545,13.0,21,74,10,page_2,semantic
 ,1077.0,545,13.0,21,75,10,page_2,
a,1090.0,545,13.0,21,76,10,page_2,and
n,1103.0,545,13.0,21,77,10,page_2,and
d,1116.0,545,13.0,21,78,10,page_2,and
o,102.0,644,13.0,21,0,12,page_2,other
t,115.0,644,13.0,21,1,12,page_2,other
h,128.0,644,13.0,21,2,12,page_2,other
e,141.0,644,13.0,21,3,12,page_2,other
r,154.0,644,13.0,21,4,12,page_2,other
 ,167.0,644,13.0,21,5,12,page_2,
l,180.0,644,13.0,21,6,12,page_2,linguistic
i,193.0,644,13.0,21,7,12,page_2,linguistic
n,206.0,644,13.0,21,8,12,page_2,linguistic
g,219.0,644,13.0,21,9,12,page_2,linguistic
u,232.0,644,13.0,21,10,12,page_2,linguistic
i,245.0,644,13.0,21,11,12,page_2,linguistic
s,258.0,644,13.0,21,12,12,page_2,linguistic
t,271.0,644,13.0,21,13,12,page_2,linguistic
i,284.0,644,13.0,21,14,12,page_2,linguistic
c,297.0,644,13.0,21,15,12,page_2,linguistic
 ,310.0,644,13.0,21,16,12,page_2,
f,323.0,644,13.0,21,17,12,page_2,features
e,336.0,644,13.0,21,18,12,page_2,features
a,349.0,644,13.0,21,19,12,page_2,features
t,362.0,644,13.0,21,20,12,page_2,features
u,375.0,644,13.0,21,21,12,page_2,features
r,388.0,644,13.0,21,22,12,page_2,features
e,401.0,644,13.0,21,23,12,page_2,features
s,414.0,644,13.0,21,24,12,page_2,features
 ,427.0,644,13.0,21,25,12,page_2,
o,440.0,644,13.0,21,26,12,page_2,of
f,453.0,644,13.0,21,27,12,page_2,of
 ,466.0,644,13.0,21,28,12,page_2,
t,479.0,644,13.0,21,29,12,page_2,the
h,492.0,644,13.0,21,30,12,page_2,the
e,505.0,644,13.0,21,31,12,page_2,the
 ,518.0,644,13.0,21,32,12,page_2,
s,531.0,644,13.0,21,33,12,page_2,stimulus
t,544.0,644,13.0,21,34,12,page_2,stimulus
i,557.0,644,13.0,21,35,12,page_2,stimulus
m,570.0,644,13.0,21,36,12,page_2,stimulus
u,583.0,644,13.0,21,37,12,page_2,stimulus
l,596.0,644,13.0,21,38,12,page_2,stimulus
u,609.0,644,13.0,21,39,12,page_2,stimulus
s,622.0,644,13.0,21,40,12,page_2,stimulus
 ,635.0,644,13.0,21,41,12,page_2,
t,648.0,644,13.0,21,42,12,page_2,text.
e,661.0,644,13.0,21,43,12,page_2,text.
x,674.0,644,13.0,21,44,12,page_2,text.
t,687.0,644,13.0,21,45,12,page_2,text.
.,700.0,644,13.0,21,46,12,page_2,text.
 ,713.0,644,13.0,21,47,12,page_2,
O,726.0,644,13.0,21,48,12,page_2,Our
u,739.0,644,13.0,21,49,12,page_2,Our
r,752.0,644,13.0,21,50,12,page_2,Our
 ,765.0,644,13.0,21,51,12,page_2,
p,778.0,644,13.0,21,52,12,page_2,proposed
r,791.0,644,13.0,21,53,12,page_2,proposed
o,804.0,644,13.0,21,54,12,page_2,proposed
p,817.0,644,13.0,21,55,12,page_2,proposed
o,830.0,644,13.0,21,56,12,page_2,proposed
s,843.0,644,13.0,21,57,12,page_2,proposed
e,856.0,644,13.0,21,58,12,page_2,proposed
d,869.0,644,13.0,21,59,12,page_2,proposed
 ,882.0,644,13.0,21,60,12,page_2,
m,895.0,644,13.0,21,61,12,page_2,model
o,908.0,644,13.0,21,62,12,page_2,model
d,921.0,644,13.0,21,63,12,page_2,model
e,934.0,644,13.0,21,64,12,page_2,model
l,947.0,644,13.0,21,65,12,page_2,model
 ,960.0,644,13.0,21,66,12,page_2,
o,973.0,644,13.0,21,67,12,page_2,outperforms
u,986.0,644,13.0,21,68,12,page_2,outperforms
t,999.0,644,13.0,21,69,12,page_2,outperforms
p,1012.0,644,13.0,21,70,12,page_2,outperforms
